Variável;Descrição da variável;Contagem;Observação;Grupo
cisp;Número da circunscrição onde ocorreu o fato  ;;Delegacia de Polícia (DP). Algumas DP se desmembraram ao longo do tempo. Ver aba desmembra_dp.;
mes;Mês da comunicação da ocorrência;;;
ano;Ano da comunicação da ocorrência;;;
mes_ano;Mês e ano da comunicação da ocorrência;;;
aisp;Número da Área Integrada de Segurança Pública ;;Algumas DP mudaram de AISP ao longo do tempo. Para saber as alterações que ocorreram ao longo do tempo, ver aba dp_muda_de_aisp;
risp;Número da Região Integrada de Segurança Pública;;;
munic;Nome do município da circunscrição;;Algumas DP abrangem mais de um município. Para saber os agrupamentos de municípios feitos por DP e o novo código criado, ver aba munic_agregados;
mcirc;Código IBGE de 7 dígitos do município da circunscrição ;;Algumas DP se desmembraram ao longo do tempo, mudando os municípios de abrangência. Ver aba dp_muda_de_municipio;
regiao;1-Baixada  2-Capital  3-Grande Niterói  4-Interior;;Algumas AISP mudaram de região ao longo do tempo. Para saber as alterações que ocorreram ao longo do tempo, ver aba aisp_muda_de_regiao;
fase;2 - Consolidado sem errata    3 - Consolidado com errata;;;
hom_doloso;  Homicídio doloso;vítima;;CRIMES VIOLENTOS
lesao_corp_morte;  Lesão corporal seguida de morte;vítima;;CRIMES VIOLENTOS
latrocinio;  Latrocínio (roubo seguido de morte);vítima;;CRIMES VIOLENTOS
cvli;Crimes Violentos Letais Intencionais;vítima;Homicídio doloso + Lesão corporal seguida de morte + Latrocínio;CRIMES VIOLENTOS
hom_por_interv_policial;Morte por intervenção de agente do Estado;vítima;;CRIMES VIOLENTOS
letalidade_violenta;Letalidade violenta;vítima;Homicídio doloso + Lesão corporal seguida de morte + Latrocínio + Morte por intervenção de agente do Estado;CRIMES VIOLENTOS
tentat_hom;  Tentativa de homicídio;vítima;;CRIMES VIOLENTOS
lesao_corp_dolosa;  Lesão corporal dolosa;vítima;;CRIMES VIOLENTOS
estupro;  Estupro;vítima;"Em 2009, o Artigo 214 do Código Penal passou a caracterizar Atentado Violento ao Pudor (AVP) como Estupro. Por isso, antes de 2009, a variável ""estupro"" é na verdade a soma de ""estupro"" e ""AVP"". ";CRIMES VIOLENTOS
hom_culposo;  Homicídio culposo (trânsito);vítima;Atropelamento + colisão + outros;CRIMES DE TRÂNSITO
lesao_corp_culposa;  Lesão corporal culposa (trânsito);vítima;Atropelamento + colisão + outros;CRIMES DE TRÂNSITO
roubo_transeunte;  Roubo a transeunte;caso;;ROUBOS
roubo_celular;  Roubo de telefone celular;caso;;ROUBOS
roubo_em_coletivo;  Roubo em coletivo;caso;;ROUBOS
roubo_rua;Roubo de Rua;caso;Roubo a transeunte + Roubo de celular + Roubo em coletivo;ROUBOS
roubo_veiculo;  Roubo de veículo;caso;;ROUBOS
roubo_carga;  Roubo de carga;caso;;ROUBOS
roubo_comercio;  Roubo a estabelecimento comercial;caso;;ROUBOS
roubo_residencia;  Roubo a residência;caso;;ROUBOS
roubo_banco;  Roubo a banco;caso;;ROUBOS
roubo_cx_eletronico;  Roubo de caixa eletrônico;caso;;ROUBOS
roubo_conducao_saque;  Roubo com condução da vítima para saque em instituição financeira;caso;;ROUBOS
roubo_apos_saque;Roubo após saque em instituição financeira;caso;;ROUBOS
roubo_bicicleta;Roubo de bicicleta;caso;A partir de junho de 2015.;ROUBOS
outros_roubos;Outros roubos que não os listados acima;caso;Inclui contagem de ocorrências de latrocínio.;ROUBOS
total_roubos;Total de roubos;caso;Soma de todos os roubos listados acima.;ROUBOS
furto_veiculos;  Furto de veículo;caso;;FURTOS
furto_transeunte;Furto a transeunte;caso;;FURTOS
furto_coletivo;Furto em coletivo;caso;;FURTOS
furto_celular;Furto de telefone celular;caso;;FURTOS
furto_bicicleta;Furto de bicicleta;caso;A partir de junho de 2015.;FURTOS
outros_furtos;Outros furtos que não os listados acima;caso;;FURTOS
total_furtos;Total de furtos;caso;Soma de todos os furtos listados acima.;FURTOS
sequestro;  Extorsão mediante sequestro (sequestro clássico);vítima;;OUTROS CRIMES CONTRA O PATRIMÔNIO
extorsao;  Extorsão ;caso;;OUTROS CRIMES CONTRA O PATRIMÔNIO
sequestro_relampago;  Extorsão com momentânea privação da liberdade (sequestro relâmpago);vítima;;OUTROS CRIMES CONTRA O PATRIMÔNIO
estelionato;  Estelionato;caso;;OUTROS CRIMES CONTRA O PATRIMÔNIO
apreensao_drogas;  Apreensão de drogas;caso;Refere-se à aglutinação dos títulos de Uso/Porte, Tráfico e Apreensão de substância entorpecente.;ATIVIDADE POLICIAL
posse_drogas;Número de registros que possuem algum título referente a posse de drogas;caso;A partir de janeiro de 2006. A soma dessas variáveis pode ser maior que o número de registros de apreensão de drogas, pois um mesmo registro pode conter mais de um tipo de apreensão de drogas.;ATIVIDADE POLICIAL
trafico_drogas;Número de registros que possuem algum título referente a tráfico de drogas;caso;;ATIVIDADE POLICIAL
apreensao_drogas_sem_autor;Número de registros que possuem algum título referente a apreensão de drogas sem autor;caso;;ATIVIDADE POLICIAL
recuperacao_veiculos;  Recuperação de veículo;caso;Refere-se à recuperação de veículos, não necessariamente roubados/furtados durante o mês, e/ou roubados/furtados na mesma área.;ATIVIDADE POLICIAL
apf;Auto de Prisão em Flagrante;autor;A partir de janeiro de 2006.;ATIVIDADE POLICIAL
aaapai;Auto de Apreensão de Adolescente por Prática de Ato Infracional;adolescente infrator;A partir de janeiro de 2006.;ATIVIDADE POLICIAL
cmp;Cumprimento de Mandado de Prisão;autor;A partir de janeiro de 2006.;ATIVIDADE POLICIAL
cmba;Cumprimento de Mandado de Busca e Apreensão;adolescente infrator;A partir de janeiro de 2006.;ATIVIDADE POLICIAL
ameaca;  Ameaça ;vítima;;OUTROS REGISTROS
pessoas_desaparecidas;  Pessoas desaparecidas;vítima;;OUTROS REGISTROS
encontro_cadaver;  Encontro de cadáver;vítima;;OUTROS REGISTROS
encontro_ossada;  Encontro de ossada;vítima;;OUTROS REGISTROS
pol_militares_mortos_serv;  Policiais Militares mortos em serviço;vítima;;OUTROS REGISTROS
pol_civis_mortos_serv;  Policiais Civis mortos em serviço;vítima;;OUTROS REGISTROS
registro_ocorrencias;  Registro de ocorrências;caso;Total de registros de ocorrências divulgados no mês;REGISTROS DE OCORRÊNCIAS
